Step,8-dim,16-dim,32-dim,64-dim,128-dim,256-dim,512-dim
328,509,507,506,510,507,506,504.0
329,506,506,508,508,508,508,504.0
330,509,506,508,510,510,511,506.0
331,505,506,509,507,508,509,509.0
332,507,507,509,508,509,510,510.0
335,509,506,505,508,507,506,506.0
336,509,508,505,503,510,507,510.0
337,505,506,502,504,508,509,512.0
338,507,509,510,507,506,509,504.0
339,506,509,506,507,507,510,509.0
340,501,508,505,507,507,503,506.0
343,505,511,509,509,506,506,508.0
344,506,508,507,506,510,507,510.0
345,507,504,509,508,507,503,505.0
346,502,511,507,510,504,508,507.0
347,504,509,510,507,504,507,508.0
348,505,507,502,507,509,505,510.0
351,510,507,502,506,510,509,507.0
352,505,509,508,508,510,504,508.0
353,510,507,508,509,506,507,510.0
354,509,505,507,508,505,505,509.0
355,500,507,505,509,509,506,507.0
356,506,505,507,508,506,509,511.0
359,508,509,511,509,504,505,511.0
360,510,508,509,508,507,505,506.0
361,508,507,510,505,510,506,509.0
362,507,507,507,508,504,507,507.0
363,508,509,502,507,505,505,508.0
364,502,508,506,506,506,510,504.0
365,509,510,506,508,509,508,507.0
368,510,509,507,507,509,509,509.0
369,506,508,508,505,506,506,509.0
370,505,509,508,508,506,507,507.0
371,508,504,509,508,508,508,507.0
372,505,509,507,508,506,510,505.0
373,505,509,504,508,508,508,509.0
376,507,506,508,508,504,503,503.0
377,506,507,505,509,508,509,510.0
378,507,511,505,508,509,507,506.0
379,508,509,507,505,509,507,506.0
380,510,503,509,505,507,507,511.0
381,508,508,508,504,505,509,511.0
384,508,508,505,506,507,505,502.0
385,508,508,506,507,507,499,505.0
386,510,506,508,505,507,507,510.0
387,509,508,504,508,506,507,507.0
388,507,505,510,506,504,505,505.0
389,511,503,509,505,507,509,508.0
392,506,505,509,508,509,508,506.0
393,509,507,510,507,508,506,508.0
394,507,510,507,508,503,508,508.0
395,509,509,509,506,508,506,508.0
396,505,509,507,507,512,506,509.0
397,508,506,505,507,505,508,508.0
400,507,509,508,507,504,504,512.0
401,509,502,509,509,508,510,509.0
402,505,504,510,504,509,508,510.0
403,508,507,509,507,508,507,505.0
404,508,506,508,507,507,509,509.0
405,509,508,509,506,509,510,503.0
406,504,510,508,503,504,511,506.0
409,509,508,508,506,509,507,506.0
410,507,509,507,509,508,508,511.0
411,506,508,505,508,507,505,509.0
412,505,507,501,507,505,510,509.0
413,506,511,507,507,505,503,506.0
414,504,510,509,511,509,510,509.0
417,506,509,502,507,507,510,508.0
418,505,503,505,506,509,506,507.0
419,507,506,510,503,505,504,505.0
420,506,504,510,508,500,506,503.0
421,510,509,508,511,509,507,508.0
422,504,505,508,510,506,509,507.0
425,506,508,509,507,508,506,506.0
426,507,500,508,509,508,506,507.0
427,507,506,506,506,508,508,504.0
428,501,505,508,507,508,510,505.0
429,509,509,506,503,507,507,505.0
430,504,508,507,511,505,504,508.0
433,508,506,507,504,508,509,508.0
434,505,507,510,506,505,503,507.0
435,507,506,508,507,505,502,506.0
436,507,507,506,505,507,507,508.0
437,504,503,507,508,508,507,509.0
438,501,506,505,507,507,510,507.0
441,507,505,505,508,510,511,504.0
442,507,509,510,509,506,506,508.0
443,505,506,502,507,509,511,509.0
444,505,507,509,506,507,509,509.0
445,504,509,506,507,506,508,
446,510,510,509,509,505,510,
449,508,504,505,505,507,505,
450,507,505,510,507,504,509,
451,511,509,511,508,508,509,
452,504,508,503,511,509,507,
453,511,505,507,508,511,503,
454,505,508,510,507,507,510,
455,509,505,510,506,509,506,
458,507,504,506,509,507,505,
459,505,505,508,510,509,509,
460,509,504,506,506,508,505,
461,508,507,510,509,507,507,
462,506,507,508,510,509,504,
463,510,510,504,507,502,505,
466,507,505,509,508,505,507,
467,507,504,508,507,510,505,
468,504,510,506,509,510,508,
469,508,503,507,501,510,507,
470,508,508,504,510,509,506,
471,506,509,505,504,510,509,
474,510,509,505,509,506,505,
475,509,506,504,509,508,507,
476,509,507,511,511,508,502,
477,507,507,509,504,510,501,
478,511,507,504,509,508,507,
479,510,507,507,510,504,505,
482,510,504,509,506,508,508,
483,501,508,507,510,509,506,
484,510,507,502,508,508,509,
485,506,502,503,509,507,508,
486,510,507,505,510,507,506,
487,503,504,506,505,507,506,
490,508,503,504,511,508,506,
491,508,507,502,506,509,504,
492,505,510,510,508,505,505,
493,510,507,510,507,506,507,
494,507,509,506,505,508,507,
495,509,509,508,508,509,509,
498,508,505,511,505,507,506,
499,510,509,508,508,504,510,
500,509,509,504,508,506,506,
501,511,507,506,508,507,503,
502,505,504,506,507,510,509,
503,507,507,509,506,511,510,
504,507,506,506,509,507,508,
507,510,508,506,509,509,503,
508,509,506,507,507,508,505,
509,510,502,510,508,506,508,
510,506,507,510,506,506,504,
511,507,510,506,506,502,505,
512,507,502,505,506,507,510,
515,508,506,509,506,508,507,
516,507,509,510,509,508,511,
517,505,502,505,510,508,507,
518,507,510,505,507,509,508,
519,507,508,506,508,502,510,
520,507,503,510,510,509,510,
523,505,509,504,508,508,505,
524,506,507,507,509,509,508,
525,507,510,508,505,508,504,
526,509,505,510,505,508,506,
527,509,508,511,509,507,510,
528,508,505,505,507,509,509,
531,502,506,507,509,506,505,
532,508,509,506,504,507,504,
533,509,507,509,508,509,507,
534,509,508,511,507,506,506,
535,509,507,509,508,508,508,
536,506,506,508,508,507,504,
539,508,507,509,507,506,508,
540,510,510,508,504,507,508,
541,511,508,507,508,508,509,
542,505,506,505,510,509,508,
543,508,503,506,505,509,505,
544,510,501,506,507,506,511,
545,510,505,509,510,508,507,
548,509,505,503,505,503,509,
549,510,507,510,508,503,506,
550,508,508,511,506,507,506,
551,507,503,506,504,510,501,
552,503,508,506,507,506,510,
553,508,505,508,509,508,509,
556,507,505,507,508,508,510,
557,501,507,502,511,509,509,
558,510,509,508,506,510,504,
559,507,504,506,509,510,506,
560,507,509,507,507,507,506,
561,509,505,503,507,505,505,
564,510,507,505,510,506,505,
565,506,507,507,508,510,509,
566,508,507,510,508,509,507,
567,509,503,505,508,504,505,
